"The page does not exist", "The page does not exist"
"Could not delete the image", "Could not delete the image"
"Could not insert the image", "Could not insert the image"
"Image deleted", "Image deleted"
"Manage Page Image", "Manage Page Image"
"View Image", "View Image"
"Manage Page Image", "Manage Page Image"
"Add Image","Add Image"
"Remove Image", "Remove Image"
"Inserted image","Inserted image"
"Error in selected file", "Error in selected file"
"Manage Pages", "Manage Pages"
"Page Image Options", "Page Image Options"
"Enable","Enable"
"Opacity Page Image","Opacity Page Image"
"Only the number of percentage (%) if there (0-100)","Only the number of percentage (%) if there (0-100)"
"Enable jQuery","Enable jQuery"
"Catalog","Catalog"
"Product","Product"
"Search","Search"
"Cart","Cart"
"Checkout","Checkout"
"Success Page","Success Page"
"Contacts","Contacts"
"Login","Login"
"Logout(Login)","Logout(Login)"
"Create Account","Create Account"
"My Account","My Account"
"CMS page","CMS page"
"Fixed pages","Fixed pages"
