"The page does not exist", "A página não existe"
"Could not delete the image", "Não foi possível deletar a imagem"
"Could not insert the image", "Não foi possível inserir a imagem"
"Image deleted", "Imagem deletada"
"Manage Page Image", "Gerenciar Page Image"
"View Image", "Ver Imagem"
"Manage Page Image", "Gerenciar Page Image"
"Add Image","Adicionar Imagem"
"Remove Image", "Remover Imagem"
"Inserted image","Imagem inserida"
"Error in selected file", "Erro no arquivo selecionado"
"Manage Pages", "Gerenciar Páginas"
"Page Image Options", "Opções Page Image"
"Enable","Habilitar"
"Opacity Page Image","Opacidade da imagem"
"Only the number of percentage (%) if there (0-100)","apenas o numero da porcentagem (%) se tiver (0-100)"
"Enable jQuery","Habilitar jQuery"
"Catalog","Catalogo"
"Product","Produto"
"Search","Busca"
"Cart","Carrinho"
"Checkout","Checkout"
"Success Page","Página de sucesso"
"Contacts","Contato"
"Login","Entrar(Login)"
"Logout(Login)","Sair(Logout)"
"Create Account","Criar Conta"
"My Account","Minha Conta"
"CMS page","Páginas de CMS"
"Fixed pages","Páginas Fixas"
